time,odom_stamp,imu_stamp,x,y,yaw,vx,vy,vyaw,imu_wx,imu_wy,imu_wz,imu_ax,imu_ay,imu_az
1764611074.240547,525.564000000,525.559000000,2.0001763088399866,-5.831383822660419e-06,6.636286478779645e-05,-8.23013819270132e-06,7.928801809266576e-06,6.164956104467021e-08,0.0005996166891307425,0.0008904922578971892,-0.00012429284165795502,-0.06540553832863907,0.01283232431945338,9.836310565438989
1764611074.2751265,525.598000000,525.594000000,2.000176288788169,-5.8309051037907204e-06,6.637302695002459e-05,-9.94095824396553e-06,7.855751157971844e-06,-1.488193511191847e-07,0.000359751586167291,0.0005112009079653311,0.0002833804167731924,-0.04318224312969901,-0.009997595445512073,9.617609512368782
1764611074.3102982,525.632000000,525.629000000,2.0001762873878177,-5.830630862315459e-06,6.637833089745946e-05,-4.468229220316938e-06,7.771470790989625e-06,-3.2291966889933665e-07,0.0004504432055984197,0.00090619998177161,-0.00036607208979971085,-0.06489499505948823,0.000267668190677077,9.844890059046262
1764611074.342762,525.666000000,525.664000000,2.000176268180127,-5.830857356836864e-06,6.63698812740984e-05,-9.530036161026503e-06,7.93277909173579e-06,-7.028888015886816e-07,0.0004869195756020074,0.0002446473034536487,1.5910473245743956e-05,-0.0686053075050416,0.003277163034597244,9.863869418185569
1764611074.3770723,525.700000000,525.699000000,2.000176272590067,-5.829857463712543e-06,6.635509454462499e-05,-9.239265948501481e-06,7.828308227957116e-06,-8.740661485028293e-07,0.0005955688535022682,0.0005993602273630733,-0.0001543354067286993,-0.04397343820927123,-0.008105741260652655,9.536595850275079
1764611074.4109128,525.734000000,525.729000000,2.0001762908145917,-5.830383562413254e-06,6.634202972452282e-05,-6.542346928804384e-06,7.693643861635724e-06,-5.826112408230918e-07,0.0006797278510533573,0.0009639462319498263,-0.0002699189485065775,-0.06859520100901141,0.019646907918423488,10.181326526782637
1764611074.4449456,525.768000000,525.764000000,2.0001763168409608,-5.830473910205358e-06,6.63431526586543e-05,-2.8751432786406685e-06,7.658138442016516e-06,-1.303777375836502e-07,0.00018664217051571802,0.000774252493649755,-1.0757126572392379e-05,-0.08372471801522983,0.006084272390608056,10.262819385505853
1764611074.4788907,525.802000000,525.799000000,2.0001763408341957,-5.830601216965599e-06,6.635879035499455e-05,-9.632104835187339e-06,8.194145148550233e-06,1.628468511322314e-07,0.00014682511645992266,0.0007529307590657397,0.00015553682477522195,-0.032670065488577434,-0.004771943565351149,9.758881706856323
1764611074.512229,525.836000000,525.834000000,2.0001763594109407,-5.831623669520112e-06,6.637497206144398e-05,-4.241602551285181e-06,7.590010655378413e-06,1.4744087915460153e-07,0.0004828471987569919,0.0009599266693394278,1.8649199674381173e-05,-0.08703807611507336,0.007823079390570836,10.238353237869898
1764611074.546606,525.870000000,525.869000000,2.000176378083156,-5.831712900947559e-06,6.639205774259682e-05,-7.751036444774254e-06,7.85087671800852e-06,1.2806562878605592e-07,0.00032044001875844777,0.0003491816526813008,-2.1368094686972428e-05,-0.03891685341064986,-0.02400559443570223,8.797094277719607
1764611074.5809772,525.904000000,525.899000000,2.0001763719195758,-5.831469578908282e-06,6.640442443253661e-05,-9.505897173571459e-06,7.821188703309884e-06,-1.2433269972476586e-07,0.0002617413188113561,0.0006259453027533013,0.0004216789714725374,-0.03950588506933078,0.023165675704111034,9.2434913038923
1764611074.6157417,525.938000000,525.934000000,2.0001763708231453,-5.831417151254424e-06,6.640981124313965e-05,-4.610885477758086e-06,7.782136558512226e-06,-3.5809104678697056e-07,0.0002756591409074302,0.0010446475622010697,-0.00022728526412480864,-0.07869359333631915,0.006722070079738402,10.315451887204755
1764611074.649963,525.972000000,525.969000000,2.0001763698009856,-5.831307351365522e-06,6.6411615290849e-05,-8.006432006508782e-06,7.770397300421391e-06,-4.2187115899925617e-07,0.0004242794156695092,0.0006874278865309491,0.00040216132017695884,-0.06934054750179373,-0.015995440797675613,9.204860938297225
1764611074.6830313,526.6000000,526.4000000,2.0001763487403066,-5.83073157202238e-06,6.641421642266888e-05,-8.067464461816974e-06,7.964012153573148e-06,-5.799328607065083e-07,0.00033771620926240195,0.0006640548310612987,-0.00012440638221980038,-0.0698668731780175,0.03075969332214856,10.312887426978332
1764611074.7167747,526.40000000,526.39000000,2.0001763479484818,-5.830819027796863e-06,6.640755583430282e-05,-9.467384166251134e-06,7.85325468270759e-06,-6.112999711178462e-07,0.00038818753814047317,0.0010692502578765755,-5.8071093741951234e-05,-0.05689636584203197,0.019876983066310402,9.523027529803437
1764611074.7516093,526.74000000,526.69000000,2.000176358704937,-5.831197113339849e-06,6.639664831151896e-05,-6.7584781483859545e-06,7.693297892672637e-06,-7.069977005653768e-07,0.0004438086665212558,0.000957589019885557,0.00011046571596487493,-0.05758241051332295,0.01265214076004414,10.16518426693405
1764611074.7861283,526.108000000,526.104000000,2.0001763774413153,-5.831293281590825e-06,6.638894482700735e-05,-3.0940315472548817e-06,7.657415402012206e-06,-4.6988107825794553e-07,0.0005782673762864131,0.000620525350726889,0.00017553516427195955,-0.0823051793753343,-0.003648898214815641,10.279781399858742
1764611074.8200254,526.142000000,526.139000000,2.000176406999603,-5.831252584916732e-06,6.639285452611821e-05,-4.02184321813171e-06,7.730830907331547e-06,-1.3326557779649925e-07,0.0007653843659986729,0.0010481401614369841,-4.71675838026666e-05,-0.050199239448527125,-0.025181248089529772,10.342365066603094
1764611074.8539128,526.176000000,526.174000000,2.000176438448765,-5.831210794731446e-06,6.64067211683104e-05,-7.143583242209601e-06,7.640319874512005e-06,1.7749160498997678e-08,0.00035890556865492346,0.00023593794873764848,4.811678247214317e-06,-0.04833536386853174,0.02313972242572065,9.01572226803795
1764611074.887936,526.210000000,526.209000000,2.000176446869191,-5.8319670448983315e-06,6.642142582683562e-05,-9.077996508065054e-06,7.791051378495661e-06,8.586720184124303e-08,0.0006648224850626485,0.0005674550971601503,-5.9608037332099295e-05,-0.050096484218373545,-0.005128493446887378,10.493378401302179
